atributo1,atributo2,atributo3,atributo4,clase
V4,V4,V5,V6,Iris-virginica
V4,V3,V5,V5,Iris-virginica
V6,V5,V6,V6,Iris-virginica
V4,V3,V5,V6,Iris-virginica
V5,V3,V5,V4,Iris-virginica
V3,V2,V5,V5,Iris-virginica
V5,V4,V6,V6,Iris-virginica
V5,V4,V5,V6,Iris-virginica
V5,V3,V5,V6,Iris-virginica
V4,V2,V5,V5,Iris-virginica
V2,V4,V1,V1,Iris-setosa
V2,V3,V1,V1,Iris-setosa
V1,V4,V1,V1,Iris-setosa
V1,V3,V1,V1,Iris-setosa
V1,V4,V1,V1,Iris-setosa
V6,V3,V6,V5,Iris-virginica
V6,V5,V6,V5,Iris-virginica
V4,V3,V5,V6,Iris-virginica
V4,V3,V5,V4,Iris-virginica
V4,V2,V5,V4,Iris-virginica
V6,V3,V6,V6,Iris-virginica
V4,V4,V5,V6,Iris-virginica
V4,V3,V5,V5,Iris-virginica
V3,V3,V4,V5,Iris-virginica
V5,V3,V5,V6,Iris-virginica
V5,V3,V5,V6,Iris-virginica
V5,V3,V5,V6,Iris-virginica
V1,V3,V1,V1,Iris-setosa
V1,V3,V1,V1,Iris-setosa
V3,V6,V1,V1,Iris-setosa
V2,V5,V1,V1,Iris-setosa
V2,V4,V1,V1,Iris-setosa
V3,V5,V1,V1,Iris-setosa
V2,V4,V1,V1,Iris-setosa
V2,V5,V1,V1,Iris-setosa
V1,V5,V1,V1,Iris-setosa
V2,V4,V1,V2,Iris-setosa
V2,V4,V1,V1,Iris-setosa
V2,V4,V1,V1,Iris-setosa
V1,V4,V1,V1,Iris-setosa
V1,V3,V1,V1,Iris-setosa
V3,V4,V4,V5,Iris-versicolor
V4,V3,V4,V4,Iris-versicolor
V4,V2,V4,V4,Iris-versicolor
V2,V4,V1,V1,Iris-setosa
V3,V4,V1,V1,Iris-setosa
V2,V3,V1,V1,Iris-setosa
V1,V3,V1,V1,Iris-setosa
V2,V4,V1,V1,Iris-setosa
V2,V4,V1,V1,Iris-setosa
V2,V5,V1,V1,Iris-setosa
V1,V4,V1,V1,Iris-setosa
V2,V5,V1,V1,Iris-setosa
V2,V4,V1,V1,Iris-setosa
V5,V4,V4,V4,Iris-versicolor
V4,V4,V4,V4,Iris-versicolor
V5,V3,V4,V4,Iris-versicolor
V1,V1,V1,V1,Iris-setosa
V1,V4,V1,V1,Iris-setosa
V2,V4,V1,V2,Iris-setosa
V2,V5,V1,V1,Iris-setosa
V1,V3,V1,V1,Iris-setosa
V3,V1,V4,V4,Iris-versicolor
V4,V3,V4,V4,Iris-versicolor
V3,V3,V4,V4,Iris-versicolor
V1,V3,V1,V1,Iris-setosa
V2,V5,V1,V1,Iris-setosa
V2,V5,V1,V1,Iris-setosa
V1,V4,V1,V1,Iris-setosa
V2,V4,V1,V1,Iris-setosa
V4,V4,V4,V4,Iris-versicolor
V2,V2,V3,V3,Iris-versicolor
V4,V3,V4,V4,Iris-versicolor
V3,V3,V3,V4,Iris-versicolor
V5,V3,V4,V4,Iris-versicolor
V3,V3,V4,V4,Iris-versicolor
V3,V2,V4,V3,Iris-versicolor
V4,V1,V4,V4,Iris-versicolor
V3,V2,V3,V3,Iris-versicolor
V4,V3,V4,V4,Iris-versicolor
V5,V3,V4,V4,Iris-versicolor
V5,V3,V5,V5,Iris-versicolor
V3,V3,V4,V4,Iris-versicolor
V3,V2,V3,V3,Iris-versicolor
V3,V2,V3,V3,Iris-versicolor
V3,V2,V3,V3,Iris-versicolor
V6,V3,V6,V6,Iris-virginica
V2,V2,V4,V5,Iris-virginica
V2,V3,V4,V4,Iris-versicolor
V3,V4,V4,V4,Iris-versicolor
V5,V3,V4,V4,Iris-versicolor
V4,V1,V4,V4,Iris-versicolor
V2,V1,V3,V3,Iris-versicolor
V4,V4,V6,V6,Iris-virginica
V3,V2,V5,V5,Iris-virginica
V5,V3,V6,V6,Iris-virginica
V6,V3,V6,V5,Iris-virginica
V4,V4,V5,V5,Iris-virginica
V4,V2,V5,V5,Iris-virginica
V5,V3,V5,V6,Iris-virginica
V3,V2,V5,V5,Iris-virginica
V3,V3,V5,V6,Iris-virginica
V3,V2,V4,V4,Iris-versicolor
V2,V2,V3,V3,Iris-versicolor
V3,V3,V4,V4,Iris-versicolor
V4,V3,V5,V5,Iris-virginica
V3,V3,V4,V3,Iris-versicolor
V3,V3,V4,V4,Iris-versicolor
V4,V3,V4,V4,Iris-versicolor
V2,V3,V1,V1,Iris-setosa
V2,V5,V1,V1,Iris-setosa
V3,V3,V4,V4,Iris-versicolor
V3,V2,V4,V3,Iris-versicolor
V3,V3,V5,V5,Iris-virginica
V3,V6,V1,V1,Iris-setosa
V4,V2,V4,V5,Iris-virginica
V5,V4,V5,V6,Iris-virginica
V5,V4,V6,V5,Iris-virginica
V4,V3,V4,V5,Iris-virginica
V4,V3,V4,V5,Iris-virginica
V1,V4,V1,V1,Iris-setosa
V2,V3,V1,V1,Iris-setosa
V2,V4,V1,V1,Iris-setosa
V2,V2,V3,V4,Iris-versicolor
V2,V1,V3,V3,Iris-versicolor
V3,V3,V4,V4,Iris-versicolor
V3,V1,V4,V3,Iris-versicolor
V4,V3,V4,V4,Iris-versicolor
V5,V2,V5,V5,Iris-virginica
V5,V5,V6,V6,Iris-virginica
